NAME	Name	freq	 cum_freq	rank
EVAN	Evan	0.042	79.257	312
JULIUS	Julius	0.042	79.298	313
DANA	Dana	0.042	79.34	314
DONNIE	Donnie	0.041	79.381	315
OTIS	Otis	0.041	79.422	316
SHANNON	Shannon	0.04	79.462	317
TREVOR	Trevor	0.04	79.503	318
OLIVER	Oliver	0.04	79.543	319
LUKE	Luke	0.04	79.583	320
HOMER	Homer	0.04	79.623	321
GERARD	Gerard	0.04	79.663	322
DOUG	Doug	0.04	79.703	323
KENNY	Kenny	0.039	79.742	324
HUBERT	Hubert	0.039	79.782	325
ANGELO	Angelo	0.039	79.821	326
SHAUN	Shaun	0.039	79.859	327
LYLE	Lyle	0.038	79.898	328
MATT	Matt	0.038	79.936	329
LYNN	Lynn	0.038	79.974	330
ALFONSO	Alfonso	0.038	80.012	331
ORLANDO	Orlando	0.037	80.049	332
REX	Rex	0.037	80.086	333
CARLTON	Carlton	0.037	80.123	334
ERNESTO	Ernesto	0.037	80.16	335
CAMERON	Cameron	0.037	80.197	336
NEAL	Neal	0.037	80.233	337
PABLO	Pablo	0.036	80.27	338
LORENZO	Lorenzo	0.036	80.306	339
OMAR	Omar	0.036	80.342	340
WILBUR	Wilbur	0.036	80.378	341
BLAKE	Blake	0.036	80.414	342
GRANT	Grant	0.036	80.45	343
HORACE	Horace	0.036	80.486	344
RODERICK	Roderick	0.036	80.521	345
KERRY	Kerry	0.036	80.557	346
ABRAHAM	Abraham	0.035	80.592	347
WILLIS	Willis	0.035	80.627	348
RICKEY	Rickey	0.035	80.662	349
JEAN	Jean	0.035	80.696	350
IRA	Ira	0.035	80.731	351
ANDRES	Andres	0.034	80.766	352
CESAR	Cesar	0.034	80.8	353
JOHNATHAN	Johnathan	0.034	80.834	354
MALCOLM	Malcolm	0.034	80.868	355
RUDOLPH	Rudolph	0.034	80.902	356
DAMON	Damon	0.034	80.936	357
KELVIN	Kelvin	0.034	80.97	358
RUDY	Rudy	0.034	81.004	359
PRESTON	Preston	0.034	81.037	360
ALTON	Alton	0.033	81.071	361
ARCHIE	Archie	0.033	81.104	362
MARCO	Marco	0.033	81.137	363
WM	Wm	0.033	81.17	364
PETE	Pete	0.032	81.202	365
RANDOLPH	Randolph	0.032	81.234	366
GARRY	Garry	0.032	81.267	367
GEOFFREY	Geoffrey	0.032	81.299	368
JONATHON	Jonathon	0.032	81.331	369
FELIPE	Felipe	0.032	81.363	370
BENNIE	Bennie	0.032	81.395	371
GERARDO	Gerardo	0.032	81.427	372
ED	Ed	0.032	81.458	373
DOMINIC	Dominic	0.032	81.49	374
ROBIN	Robin	0.032	81.522	375
LOREN	Loren	0.032	81.553	376
DELBERT	Delbert	0.031	81.585	377
COLIN	Colin	0.031	81.616	378
GUILLERMO	Guillermo	0.031	81.647	379
EARNEST	Earnest	0.031	81.678	380
LUCAS	Lucas	0.031	81.709	381
BENNY	Benny	0.03	81.739	382
NOEL	Noel	0.03	81.769	383
SPENCER	Spencer	0.03	81.799	384
RODOLFO	Rodolfo	0.03	81.828	385
MYRON	Myron	0.03	81.858	386
EDMUND	Edmund	0.03	81.887	387
GARRETT	Garrett	0.029	81.917	388
SALVATORE	Salvatore	0.029	81.946	389
CEDRIC	Cedric	0.029	81.975	390
LOWELL	Lowell	0.029	82.004	391
GREGG	Gregg	0.029	82.032	392
SHERMAN	Sherman	0.028	82.061	393
WILSON	Wilson	0.028	82.089	394
DEVIN	Devin	0.028	82.117	395
SYLVESTER	Sylvester	0.028	82.145	396
KIM	Kim	0.028	82.173	397
ROOSEVELT	Roosevelt	0.028	82.201	398
ISRAEL	Israel	0.028	82.229	399
JERMAINE	Jermaine	0.028	82.257	400
FORREST	Forrest	0.027	82.284	401
WILBERT	Wilbert	0.027	82.31	402
LELAND	Leland	0.027	82.337	403
SIMON	Simon	0.026	82.363	404
GUADALUPE	Guadalupe	0.026	82.39	405
CLARK	Clark	0.026	82.416	406
IRVING	Irving	0.026	82.442	407
CARROLL	Carroll	0.026	82.468	408
BRYANT	Bryant	0.026	82.494	409
OWEN	Owen	0.026	82.519	410
RUFUS	Rufus	0.025	82.545	411
WOODROW	Woodrow	0.025	82.57	412
SAMMY	Sammy	0.025	82.595	413
KRISTOPHER	Kristopher	0.025	82.62	414
