Occupation,occupation,Total_employed,Women,Black,Asian,Hispanic_latino
Community and social service occupations,community and social service occupations,2596,65.3,17.4,3.6,10.7
Counselors,counselors,802,71.4,18.4,2.5,9.5
Social workers,social workers,765,83.8,22,3,12.5
Probation officers and correctional treatment specialists,probation officers and correctional treatment specialists,99,55.4,23.3,4,12.1
Social and human service assistants,social and human service assistants,194,82.6,21.2,2.2,16
"Miscellaneous community and social service specialists, including","miscellaneous community and social service specialists, including",117,70.8,14.2,5.2,16.5
health educators and community health workers,health educators and community health workers,,,,,
Clergy,clergy,469,20.6,10.2,6.6,7.3
"Directors, religious activities and education","directors, religious activities and education",78,57.8,7.5,1.1,5.1
"Religious workers, all other","religious workers, all other",73,59,2.3,5.2,6.2
Legal occupations,legal occupations,1803,50.2,6.8,4.5,7.5
Lawyers,lawyers,1160,34.5,4.6,4.8,5.1
Judicial law clerks,judicial law clerks,13,-,-,-,-
"Judges, magistrates, and other judicial workers","judges, magistrates, and other judicial workers",58,39,11.8,6.2,6.4
Paralegals and legal assistants,paralegals and legal assistants,400,85.4,10.3,3.9,13.4
Miscellaneous legal support workers,miscellaneous legal support workers,172,76.4,10.9,4.1,10.8
"Education, training, and library occupations","education, training, and library occupations",8908,73.4,10.4,4.5,9.9
Postsecondary teachers,postsecondary teachers,1341,46.5,5.1,12.6,7.6
Preschool and kindergarten teachers,preschool and kindergarten teachers,695,96.8,16.1,3.4,12.2
Elementary and middle school teachers,elementary and middle school teachers,3152,80.7,10.8,2.5,8.5
Secondary school teachers,secondary school teachers,1144,59.2,8.7,2.5,7.8
Special education teachers,special education teachers,330,87.5,9.5,2.3,7.5
Other teachers and instructors,other teachers and instructors,876,62.3,12.1,6.1,11.2
"Archivists, curators, and museum technicians","archivists, curators, and museum technicians",53,60.1,2.7,0,8.5
Librarians,librarians,166,83,8.5,2.8,4.8
Library technicians,library technicians,31,-,-,-,-
Teacher assistants,teacher assistants,960,91.4,13.8,3,18.7
"Other education, training, and library workers","other education, training, and library workers",161,73.7,12.5,4.1,12
"Arts, design, entertainment, sports, and media occupations","arts, design, entertainment, sports, and media occupations",3051,47.6,6.3,5.2,10.8
Artists and related workers,artists and related workers,222,56.9,2.7,4.1,9.4
Designers,designers,899,54.9,3.5,6.9,12.3
Actors,actors,49,-,-,-,-
Producers and directors,producers and directors,169,36.9,5.3,5.6,6.8
"Athletes, coaches, umpires, and related workers","athletes, coaches, umpires, and related workers",296,36.1,11.1,2.7,10.1
Dancers and choreographers,dancers and choreographers,19,-,-,-,-
"Musicians, singers, and related workers","musicians, singers, and related workers",202,34.5,10.5,2.6,8.8
"Entertainers and performers, sports and related workers, all other","entertainers and performers, sports and related workers, all other",41,-,-,-,-
Announcers,announcers,55,16.5,14.8,5.6,19.1
"News analysts, reporters and correspondents","news analysts, reporters and correspondents",68,46.7,6.5,1.7,13.7
Public relations specialists,public relations specialists,147,61.3,9.8,4.8,7.7
Editors,editors,160,51,2,7.7,7.9
Technical writers,technical writers,68,58.2,9.2,1.2,6
Writers and authors,writers and authors,208,59.4,4.9,3.5,5.3
Miscellaneous media and communication workers,miscellaneous media and communication workers,84,67.9,5.8,13.4,35.8
Broadcast and sound engineering technicians and radio operators,broadcast and sound engineering technicians and radio operators,119,9.2,11.3,0.8,14.5
Photographers,photographers,180,49.9,3.3,7.8,9.5
"Television, video, and motion picture camera operators and editors","television, video, and motion picture camera operators and editors",64,14.8,4.5,6,15.4
"Media and communication equipment workers, all other","media and communication equipment workers, all other",2,-,-,-,-
Healthcare practitioners and technical occupations,healthcare practitioners and technical occupations,8766,75.1,11.5,9.2,8.1
Chiropractors,chiropractors,75,29.5,3.2,3.2,8.7
Dentists,dentists,196,25.9,2.9,16.8,8.6
Dietitians and nutritionists,dietitians and nutritionists,108,94.6,14.2,9.6,5.3
Optometrists,optometrists,39,-,-,-,-
Pharmacists,pharmacists,282,57,8.7,15.3,5.4
Physicians and surgeons,physicians and surgeons,1007,37.9,6.4,18.4,6.4
Physician assistants,physician assistants,74,72.6,3.7,7.1,6.5
Podiatrists,podiatrists,15,-,-,-,-
Audiologists,audiologists,16,-,-,-,-
Occupational therapists,occupational therapists,116,88,7.2,8.6,6.5
Physical therapists,physical therapists,274,72.1,4.3,12.5,4.9
Radiation therapists,radiation therapists,13,-,-,-,-
Recreational therapists,recreational therapists,11,-,-,-,-
Respiratory therapists,respiratory therapists,108,66.8,15.2,6,9.2
Speech-language pathologists,speech-language pathologists,158,98.6,4.9,2.9,7.1
Exercise physiologists,exercise physiologists,5,-,-,-,-
"Therapists, all other","therapists, all other",189,80.9,7.9,3.8,15.4
Veterinarians,veterinarians,90,60.5,3.4,4.7,2.5
Registered nurses,registered nurses,2973,89.4,12.2,8.7,6.6
Nurse anesthetists,nurse anesthetists,27,-,-,-,-
Nurse midwives,nurse midwives,7,-,-,-,-
Nurse practitioners,nurse practitioners,149,90.8,8.2,3.5,2.5
"Health diagnosing and treating practitioners, all other","health diagnosing and treating practitioners, all other",17,-,-,-,-
Clinical laboratory technologists and technicians,clinical laboratory technologists and technicians,327,76.1,17.3,13.5,12.4
Dental hygienists,dental hygienists,177,96.4,3.6,6.6,5.4
Diagnostic related technologists and technicians,diagnostic related technologists and technicians,322,73.7,7.9,5.2,8.7
Emergency medical technicians and paramedics,emergency medical technicians and paramedics,220,32.9,10.6,1.2,8.3
Health practitioner support technologists and technicians,health practitioner support technologists and technicians,626,81.5,14.2,7.5,13
Licensed practical and licensed vocational nurses,licensed practical and licensed vocational nurses,670,90.1,28.5,5.7,13.9
Medical records and health information technicians,medical records and health information technicians,200,89.6,12.1,3.6,8.4
"Opticians, dispensing","opticians, dispensing",52,60.4,8.4,4,13.3
Miscellaneous health technologists and technicians,miscellaneous health technologists and technicians,117,67.5,14.2,7.8,11.4
Other healthcare practitioners and technical occupations,other healthcare practitioners and technical occupations,108,52.7,8.8,3.3,9
,,,,,,
Service occupations,service occupations,25896,56.7,16.8,5.4,23.5
Healthcare support occupations,healthcare support occupations,3514,87.6,27.1,5.7,16.5
"Nursing, psychiatric, and home health aides","nursing, psychiatric, and home health aides",2032,89.4,37.7,5.6,14.8
Occupational therapy assistants and aides,occupational therapy assistants and aides,23,-,-,-,-
Physical therapist assistants and aides,physical therapist assistants and aides,68,67.7,5.6,6,10.8
Massage therapists,massage therapists,189,77.9,4.8,9.1,9.1
Dental assistants,dental assistants,286,94.1,9.6,6.6,23.8
Medical assistants,medical assistants,524,90.7,13,5.6,27.5
Medical transcriptionists,medical transcriptionists,42,-,-,-,-
Pharmacy aides,pharmacy aides,36,-,-,-,-
Veterinary assistants and laboratory animal caretakers,veterinary assistants and laboratory animal caretakers,38,-,-,-,-
Phlebotomists,phlebotomists,106,84.1,25.2,3.5,13.8
